 VAPOR RESISTANCE DRYING MODEL

 Generic Dryer for Python Class.                                                 

 SOLVENT  1 IS Water                    

 THE WSPEED IS  0.6096E+002 meters/min
 THE CWIDTH IS  0.4064E+002 cm
 THE WTOT   IS  0.1330E+002 gm/sqm

 DRYING SECTION   1

        TU =  0.1489E+003 deg C       HU  =  0.2216E+003 Cal/sqm/sec/deg C
        TL =  0.9333E+002 deg C       HL  =  0.5845E+002 Cal/sqm/sec/deg C

     TWALL =  0.1950E+003 deg C      VIEW =  0.0000E+000

 OVEN PARTIAL PRESSURE OF SOLVENT  1 IS  0.1202E-001 atm


 DISTANCE     TIME         TEMP         PERCENT      RATE         SOLVENT REMAINING
 cm           sec          deg C        REMAINING    gm/sqm/min   gm/sqm
                                                                  SOLVENT 1
 0.0000E+000    0.0000E+000    0.2000E+002    0.7870E+002    0.0000E+000    0.1047E+002
 0.2286E+001    0.2250E-001    0.3088E+002    0.7830E+002    0.6482E+003    0.1022E+002
 0.4572E+001    0.4500E-001    0.3790E+002    0.7745E+002    0.1315E+004    0.9731E+001
 0.6858E+001    0.6750E-001    0.4189E+002    0.7611E+002    0.1882E+004    0.9025E+001
 0.9144E+001    0.9000E-001    0.4396E+002    0.7428E+002    0.2251E+004    0.8181E+001
 0.1143E+002    0.1125E+000    0.4499E+002    0.7194E+002    0.2451E+004    0.7262E+001
 0.1372E+002    0.1350E+000    0.4551E+002    0.6900E+002    0.2546E+004    0.6307E+001
 0.1600E+002    0.1575E+000    0.4582E+002    0.6533E+002    0.2583E+004    0.5338E+001
 0.1829E+002    0.1800E+000    0.4607E+002    0.6066E+002    0.2588E+004    0.4368E+001
 0.2057E+002    0.2025E+000    0.4639E+002    0.5458E+002    0.2569E+004    0.3405E+001
 0.2286E+002    0.2250E+000    0.4690E+002    0.4648E+002    0.2518E+004    0.2460E+001
 0.2514E+002    0.2475E+000    0.4791E+002    0.3551E+002    0.2401E+004    0.1560E+001
 0.2743E+002    0.2700E+000    0.5021E+002    0.2134E+002    0.2111E+004    0.7686E+000
 0.2972E+002    0.2925E+000    0.5560E+002    0.7700E+001    0.1419E+004    0.2363E+000
 0.3200E+002    0.3150E+000    0.6484E+002    0.1952E+001    0.4798E+003    0.5639E-001
 0.3429E+002    0.3375E+000    0.7472E+002    0.9475E+000    0.7810E+002    0.2710E-001
 0.3657E+002    0.3600E+000    0.8346E+002    0.6321E+000    0.2421E+002    0.1802E-001
 0.3886E+002    0.3825E+000    0.9102E+002    0.4622E+000    0.1298E+002    0.1315E-001
 0.4115E+002    0.4050E+000    0.9754E+002    0.3597E+000    0.7805E+001    0.1023E-001
 0.4343E+002    0.4275E+000    0.1031E+003    0.8950E+000   -0.4095E+002    0.2558E-001
 0.4572E+002    0.4500E+000    0.1080E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.4800E+002    0.4725E+000    0.1121E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.5029E+002    0.4950E+000    0.1157E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.5258E+002    0.5175E+000    0.1188E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.5486E+002    0.5400E+000    0.1214E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.5715E+002    0.5625E+000    0.1236E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.5943E+002    0.5850E+000    0.1256E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.6172E+002    0.6075E+000    0.1272E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.6400E+002    0.6300E+000    0.1287E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.6629E+002    0.6525E+000    0.1299E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.6858E+002    0.6750E+000    0.1309E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.7086E+002    0.6975E+000    0.1318E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.7315E+002    0.7200E+000    0.1326E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.7543E+002    0.7425E+000    0.1333E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.7772E+002    0.7650E+000    0.1338E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.8001E+002    0.7875E+000    0.1343E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.8229E+002    0.8100E+000    0.1348E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.8458E+002    0.8325E+000    0.1351E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.8686E+002    0.8550E+000    0.1354E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.8915E+002    0.8775E+000    0.1357E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.9144E+002    0.9000E+000    0.1359E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.9372E+002    0.9225E+000    0.1361E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.9601E+002    0.9450E+000    0.1363E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.9829E+002    0.9675E+000    0.1364E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1006E+003    0.9900E+000    0.1366E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1029E+003    0.1012E+001    0.1367E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1052E+003    0.1035E+001    0.1367E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1074E+003    0.1057E+001    0.1368E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1097E+003    0.1080E+001    0.1369E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1120E+003    0.1102E+001    0.1370E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1143E+003    0.1125E+001    0.1370E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1166E+003    0.1147E+001    0.1370E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1189E+003    0.1170E+001    0.1371E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1212E+003    0.1192E+001    0.1371E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1234E+003    0.1215E+001    0.1371E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1257E+003    0.1237E+001    0.1372E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1280E+003    0.1260E+001    0.1372E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1303E+003    0.1282E+001    0.1372E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1326E+003    0.1305E+001    0.1372E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1349E+003    0.1327E+001    0.1372E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1372E+003    0.1350E+001    0.1372E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1394E+003    0.1372E+001    0.1372E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1417E+003    0.1395E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1440E+003    0.1417E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1463E+003    0.1440E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1486E+003    0.1462E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1509E+003    0.1485E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1532E+003    0.1507E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1554E+003    0.1530E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1577E+003    0.1552E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1600E+003    0.1575E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1623E+003    0.1597E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1646E+003    0.1620E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1669E+003    0.1642E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1692E+003    0.1665E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1714E+003    0.1687E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1737E+003    0.1710E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1760E+003    0.1732E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1783E+003    0.1755E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1806E+003    0.1777E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1829E+003    0.1800E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1852E+003    0.1822E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1874E+003    0.1845E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1897E+003    0.1867E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1920E+003    0.1890E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1943E+003    0.1912E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1966E+003    0.1935E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.1989E+003    0.1957E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2012E+003    0.1980E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2034E+003    0.2002E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2057E+003    0.2025E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2080E+003    0.2047E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2103E+003    0.2070E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2126E+003    0.2092E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2149E+003    0.2115E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2172E+003    0.2137E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2194E+003    0.2160E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2217E+003    0.2182E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2240E+003    0.2205E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2263E+003    0.2227E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001
 0.2286E+003    0.2250E+001    0.1373E+003    0.8950E+000    0.0000E+000    0.2558E-001

 THE OVERALL DRYING RATE IN DRYING SECTION  2 IS  0.2587E+003 gm/min

